Name,group,L-Proline,L-Leucine,Uric acid,cis-Aconitic acid,"D-Glucurono-6,3-lactone",Isocitric acid,Gluconic acid,Glycerylphosphorylethanolamine,Pantothenic acid,Cytidine,"7,8-Dihydroneopterin",5-Aminoimidazole ribonucleotide,Phytosphingosine,Biocytin,IDP,"PC(14:0/20:3(5Z,8Z,11Z))"
AV_201,1,1.204835906,1.041426821,20.46292062,16.04461688,1.092254443,500.4284993,1.794685417,0.111278124,0.340380428,0.224218033,1.067188858,0.167962833,0.897349962,0.127058265,7.867564797,0.047226561
AV_202,1,1.772289408,1.261974338,13.40237148,35.09517541,1.964793315,454.3324561,2.881639311,0.364508225,1.100368322,0.258580469,0.99955777,0.289767184,1.107807748,0.400539386,4.22805216,0.275522711
AV_203,1,0.931818386,1.002168747,20.4568133,14.12798376,1.204483312,480.5935165,2.611330712,0.115798116,0.544481865,0.186733267,1.03873748,0.183442648,0.807803042,0.103060948,6.746151312,0.070587129
AV_207,1,1.443008471,1.215669465,5.105304196,36.56175146,1.671311139,426.3691855,1.946025352,0.291785234,0.848848221,0.201227673,0.999609477,0.351759009,1.342456538,0.275308756,4.670096512,0.254517565
AV_208,1,2.586690607,1.312403635,13.166498,27.91864506,1.435450074,475.0490838,1.610199274,0.301949132,0.523322652,0.194355618,0.997482522,0.398970062,1.087998712,0.077761879,5.922224043,0.047118351
AV_211,1,1.04045552,1.001133873,21.10181559,16.46351556,1.368582524,468.6873713,1.851399485,0.15870292,0.53130152,0.230048439,1.0529808,0.145249619,0.893406887,0.211594712,6.004578579,0.077479287
AV_214,1,0.584572742,0.610787133,22.94119383,20.03161187,1.250563043,493.934336,3.115436789,0.087856071,0.298591521,0.213265089,1.009238227,0.166311719,0.908328083,0.015994409,5.25345401,0.106583705
AV_216,1,1.338054579,1.14904607,18.34189883,20.90301433,1.220078932,417.3120542,2.481945983,0.296361321,1.244803513,0.204797741,1.010118367,0.197532558,1.053552063,0.177792636,5.540209726,0.331062381
AV_222,1,0.932669175,1.042812119,16.76668626,27.85984629,1.589369588,431.167575,2.565162457,0.209848691,1.154865931,0.224315496,0.974176498,0.131767453,0.640286071,0.184740392,4.435296586,0.066239143
AV_226,1,0.681879181,0.870930654,20.48653291,14.38577003,0.921369403,407.3475086,1.604424379,0.101133126,0.344664245,0.17488288,1.013664652,0.192979364,0.618556381,0.165178542,6.926987185,0.372087365
AV_228,1,1.608096309,1.177147816,14.68818138,31.78405764,1.708970061,470.1279229,2.114106898,0.344709438,0.59670356,0.326250771,1.028879436,0.3652752,0.685900009,0.422419333,4.766034044,0.122195766
AV_229,1,1.125009799,0.93791225,21.85776446,16.89873808,1.787636636,559.4005015,1.213231993,0.132959181,0.30418008,0.1867912,1.053439293,0.200984512,1.417608998,0.188809658,5.380833504,0.089323172
